date,high_c,low_c
2021-07-06,32.7,26.7
2021-07-07,33.1,26.6
2021-07-08,32.8,28.4
2021-07-09,34.8,28.2
2021-07-10,34.0,28.2
2021-07-11,33.6,28.8
2021-07-12,34.8,28.7
2021-07-13,35.3,28.8
2021-07-14,34.1,29.1
2021-07-15,35.4,28.9
2021-07-16,30.9,28.7
2021-07-17,31.2,26.9
2021-07-18,28.8,24.9
2021-07-19,27.9,25.0
2021-07-20,27.1,25.3
2021-07-21,27.8,25.3
2021-07-22,32.8,26.9
2021-07-23,34.1,27.4
2021-07-24,33.2,26.5
2021-07-25,33.6,25.9
2021-07-26,33.9,28.7
2021-07-27,35.3,29.5
2021-07-28,34.1,29.1
2021-07-29,32.3,28.3
2021-07-30,30.5,26.5
2021-07-31,32.2,27.0
2021-08-01,32.5,27.1
2021-08-02,33.9,28.5
2021-08-03,29.7,27.1
2021-08-04,31.3,25.9
2021-08-05,28.6,26.2
2021-08-06,29.7,26.4
2021-08-07,30.9,27.6
2021-08-08,31.5,27.8
2021-08-09,31.3,27.2
2021-08-10,30.4,27.5
2021-08-11,32.1,27.1
2021-08-12,33.0,26.8
2021-08-13,30.7,26.6
2021-08-14,29.2,26.6
2021-08-15,30.0,25.7
2021-08-16,31.0,26.2
2021-08-17,32.5,27.4
2021-08-18,32.3,28.1
2021-08-19,31.0,26.2
2021-08-20,32.5,27.3
2021-08-21,32.5,28.0
2021-08-22,33.1,28.3
2021-08-23,33.2,28.4
2021-08-24,32.1,26.6
2021-08-25,34.4,28.2
2021-08-26,32.7,27.1
2021-08-27,29.2,23.4
2021-08-28,29.8,24.9
2021-08-29,29.9,25.3
2021-08-30,32.9,27.4
2021-08-31,29.1,25.2
2021-09-01,32.1,26.7
2021-09-02,33.0,27.7
2021-09-03,33.6,27.8
2021-09-04,33.6,27.9
2021-09-05,33.2,28.3
2021-09-06,32.5,28.0
2021-09-07,33.4,28.1
2021-09-08,34.3,28.2
2021-09-09,33.5,27.8
2021-09-10,33.7,28.6
2021-09-11,33.4,28.4
2021-09-12,34.5,29.0
2021-09-13,33.6,29.5
2021-09-14,30.2,26.7
2021-09-15,33.0,27.9
2021-09-16,31.9,26.8
2021-09-17,34.1,27.5
2021-09-18,33.2,28.3
2021-09-19,32.1,27.4
2021-09-20,32.3,27.9
2021-09-21,31.7,26.7
2021-09-22,34.0,27.9
2021-09-23,30.2,26.0
2021-09-24,32.0,27.8
2021-09-25,32.3,27.9
2021-09-26,31.6,27.8
2021-09-27,32.8,28.1
2021-09-28,32.2,27.9
2021-09-29,32.7,27.9
2021-09-30,32.9,28.4
2021-10-01,33.1,28.8
2021-10-02,32.9,28.3
2021-10-03,29.9,27.0
2021-10-04,32.7,28.1
2021-10-05,32.8,28.7
2021-10-06,31.7,27.6
2021-10-07,30.8,25.0
2021-10-08,26.8,24.7
2021-10-09,27.9,25.3
2021-10-10,27.9,25.3
2021-10-11,32.7,26.0
2021-10-12,26.4,23.6
2021-10-13,27.4,22.9
2021-10-14,30.0,26.1
2021-10-15,27.6,25.2
2021-10-16,30.3,24.3
2021-10-17,28.0,22.2
2021-10-18,27.7,20.9
2021-10-19,28.9,23.5
2021-10-20,29.8,25.0
2021-10-21,28.2,19.3
2021-10-22,20.5,18.2
2021-10-23,22.7,18.3
2021-10-24,26.6,19.8
2021-10-25,27.5,19.7
2021-10-26,28.3,22.7
2021-10-27,27.0,24.9
2021-10-28,28.0,24.2
2021-10-29,27.7,23.9
2021-10-30,26.2,23.0
2021-10-31,26.1,23.4
2021-11-01,27.6,23.7
2021-11-02,27.9,24.1
2021-11-03,27.4,24.1
2021-11-04,27.9,24.1
2021-11-05,27.8,24.6
2021-11-06,29.2,24.0
2021-11-07,29.0,24.8
2021-11-08,25.3,18.1
2021-11-09,23.0,16.9
2021-11-10,24.7,17.8
2021-11-11,25.0,18.9
2021-11-12,25.7,20.0
2021-11-13,25.4,20.1
2021-11-14,24.7,19.3
2021-11-15,25.5,20.4
2021-11-16,26.3,21.0
2021-11-17,26.5,22.0
2021-11-18,25.8,20.2
2021-11-19,25.7,21.3
2021-11-20,26.1,22.4
2021-11-21,25.6,22.7
2021-11-22,23.3,16.8
2021-11-23,17.4,14.3
2021-11-24,22.1,16.9
2021-11-25,23.7,18.4
2021-11-26,24.8,18.6
2021-11-27,24.3,18.7
2021-11-28,24.5,19.2
2021-11-29,26.1,19.4
2021-11-30,24.6,17.1
2021-12-01,20.1,14.8
2021-12-02,20.4,14.6
2021-12-03,21.3,14.7
2021-12-04,20.6,15.3
2021-12-05,22.2,16.7
2021-12-06,22.2,16.4
2021-12-07,22.5,17.1
2021-12-08,22.2,18.4
2021-12-09,22.9,18.7
2021-12-10,23.7,18.6
2021-12-11,24.4,20.0
2021-12-12,24.7,19.2
2021-12-13,21.5,17.4
2021-12-14,23.6,18.7
2021-12-15,23.0,19.9
2021-12-16,25.8,21.7
2021-12-17,23.8,18.9
2021-12-18,20.0,16.3
2021-12-19,19.7,16.0
2021-12-20,19.3,15.7
2021-12-21,19.0,16.0
2021-12-22,21.7,17.1
2021-12-23,21.9,18.7
2021-12-24,21.8,18.2
2021-12-25,21.5,17.9
2021-12-26,18.5,11.7
2021-12-27,14.6,9.9
2021-12-28,17.5,12.2
2021-12-29,20.6,16.6
2021-12-30,21.4,16.2
2021-12-31,19.9,17.1
2022-01-01,19.3,16.4
2022-01-02,22.0,16.0
2022-01-03,20.5,17.0
2022-01-04,21.5,17.4
2022-01-05,23.6,18.3
2022-01-06,23.6,18.3
2022-01-07,21.1,17.2
2022-01-08,20.2,16.0
2022-01-09,20.1,16.7
2022-01-10,20.9,16.5
2022-01-11,18.8,13.7
2022-01-12,17.9,14.7
2022-01-13,18.9,15.6
2022-01-14,17.3,15.4
2022-01-15,19.8,16.5
2022-01-16,21.1,17.4
2022-01-17,18.4,17.1
2022-01-18,18.3,15.8
2022-01-19,20.3,14.9
2022-01-20,20.8,15.4
2022-01-21,19.7,16.5
2022-01-22,17.8,16.8
2022-01-23,21.8,17.5
2022-01-24,21.8,18.8
2022-01-25,20.9,17.5
2022-01-26,21.1,17.7
2022-01-27,22.1,18.4
2022-01-28,19.9,18.1
2022-01-29,20.2,16.3
2022-01-30,20.0,13.2
2022-01-31,15.5,13.6
2022-02-01,15.7,12.9
2022-02-02,17.0,14.5
2022-02-03,14.5,11.7
2022-02-04,18.5,11.9
2022-02-05,17.7,13.2
