capture_date,target_date,city,lead,model,n_members,mean_high,sd_high,min_high,max_high,modal_bucket,modal_prob,pmf_json,members_json
2026-06-19,2026-06-19,London,0,ecmwf_ifs025,51,28.451,0.5679,27.2,29.9,28,0.4706,"{""27"": 0.0392, ""28"": 0.4706, ""29"": 0.451, ""30"": 0.0392}","[28.6, 29.1, 28.1, 28.5, 27.2, 29.0, 28.4, 27.8, 28.3, 28.1, 28.0, 28.8, 28.4, 29.9, 28.0, 27.8, 28.1, 27.5, 28.8, 28.9, 28.6, 28.0, 28.8, 28.6, 28.8, 29.1, 28.2, 28.6, 27.5, 29.2, 27.9, 27.4, 28.6, 28.0, 29.1, 28.6, 28.2, 28.2, 28.8, 29.4, 28.8, 29.5, 28.3, 29.3, 27.7, 28.8, 27.7, 28.4, 28.8, 28.4, 28.4]"
2026-06-19,2026-06-20,London,1,ecmwf_ifs025,51,26.057,0.9804,24.1,28.2,27,0.2941,"{""24"": 0.0588, ""25"": 0.2745, ""26"": 0.2549, ""27"": 0.2941, ""28"": 0.1176}","[26.2, 27.7, 25.3, 27.1, 26.1, 25.1, 26.6, 26.5, 25.4, 25.4, 26.7, 26.5, 25.5, 26.9, 25.0, 25.2, 26.1, 28.2, 24.4, 26.9, 25.1, 27.0, 26.5, 25.5, 28.0, 25.6, 25.6, 24.4, 26.2, 26.5, 27.0, 25.0, 25.9, 25.9, 26.8, 25.0, 26.6, 25.1, 25.8, 26.8, 24.9, 26.3, 26.6, 27.5, 24.1, 25.2, 25.5, 24.9, 27.7, 27.7, 25.4]"
2026-06-20,2026-06-20,Manila,0,ecmwf_ifs025,51,32.524,0.6596,30.5,33.8,33,0.5098,"{""31"": 0.098, ""32"": 0.3333, ""33"": 0.5098, ""34"": 0.0588}","[33.0, 32.8, 32.9, 32.4, 32.6, 33.3, 33.4, 32.0, 31.4, 33.4, 31.4, 33.4, 32.5, 32.1, 32.6, 33.6, 32.7, 32.4, 33.0, 32.3, 32.0, 32.7, 32.8, 32.8, 32.8, 31.3, 32.9, 33.4, 33.5, 32.3, 32.5, 32.7, 33.2, 31.7, 32.4, 32.7, 32.0, 32.3, 33.0, 32.2, 30.5, 32.3, 31.6, 32.6, 32.8, 32.7, 32.1, 31.3, 32.2, 33.8, 32.4]"
2026-06-20,2026-06-21,Manila,1,ecmwf_ifs025,51,31.935,0.8068,30.6,34.0,32,0.4118,"{""31"": 0.3137, ""32"": 0.4118, ""33"": 0.2157, ""34"": 0.0588}","[32.7, 32.5, 32.4, 31.6, 31.7, 31.1, 33.2, 32.7, 30.6, 33.6, 31.9, 31.4, 31.2, 31.8, 32.2, 32.9, 31.7, 33.7, 31.1, 31.2, 31.3, 32.0, 33.1, 32.0, 31.7, 30.7, 31.9, 32.3, 31.7, 31.7, 32.8, 31.4, 34.0, 30.8, 32.5, 32.2, 31.0, 32.1, 31.2, 32.6, 30.8, 31.4, 32.0, 32.1, 32.2, 31.8, 32.5, 30.7, 30.7, 32.7, 31.6]"
